player_id,name,position,club,league,goals,assists,shots,passes,minutes_played,xg,xa,age,market_value_eur
10007,Jon Flanagan,DEF,Liverpool,Premier League,0,1,0,303,870,0.0,0.0,18,13500000
10024,Tony Andreu,MID,Norwich City,Premier League,0,0,0,0,90,0.0,0.0,32,15800000
10030,Davide Biondini,MID,Sassuolo,Serie A,0,0,7,493,2897,0.59,0.0,31,14800000
10031,Marcello Gazzola,MID,Sassuolo,Serie A,0,1,2,222,2610,0.23,0.0,18,11900000
10032,Achraf Lazaar,MID,Palermo,Serie A,1,1,29,1357,2820,0.59,0.0,34,15800000
10033,Luca Antei,MID,Sassuolo,Serie A,0,1,0,133,1475,0.0,0.0,29,20800000
10037,Danilo Barbosa da Silva,MID,Valencia,La Liga,0,0,16,502,3007,0.88,0.0,19,20500000
10038,Mathieu Cafaro,MID,Stade de Reims,Ligue 1,0,0,0,0,90,0.0,0.0,37,7600000
10039,Ghislain Konan,MID,Stade de Reims,Ligue 1,0,0,0,0,90,0.0,0.0,28,17300000
10040,Youcef Atal,MID,OGC Nice,Ligue 1,0,0,0,0,90,0.0,0.0,31,11600000
10064,Sebastien Renot,MID,Troyes,Ligue 1,0,0,0,0,90,0.0,0.0,28,15400000
10085,Eddy Gnahoré,MID,Carpi,Serie A,0,0,0,0,450,0.0,0.0,37,10500000
10277,Fabricio Martín Agosto Ramírez,MID,RC Deportivo La Coruña,La Liga,0,0,0,0,90,0.0,0.0,30,15600000
10281,André Schürrle,FWD,Wolfsburg,Bundesliga,0,0,7,51,180,0.73,0.0,26,28200000
10287,İlkay Gündoğan,MID,Borussia Dortmund,Bundesliga,0,0,4,57,90,0.19,0.0,20,19400000
10326,João Carlos Vilaça Teixeira,MID,Liverpool,Premier League,0,0,0,3,900,0.0,0.0,24,26700000
10332,Odisseas Vlachodimos,MID,VfB Stuttgart,Bundesliga,0,0,0,0,90,0.0,0.0,21,15400000
10349,Mehmet Zeki Çelik,DEF,Lille,Ligue 1,0,0,0,86,180,0.0,0.0,18,8600000
10435,Łukasz Załuska,MID,Darmstadt 98,Bundesliga,0,0,0,0,180,0.0,0.0,24,24500000
10450,Colin Dagba,MID,Paris Saint-Germain,Ligue 1,0,0,0,9,1260,0.0,0.0,22,12100000
10457,Patrick Bamford,MID,Crystal Palace,Premier League,0,0,10,96,2027,1.04,0.0,22,27500000
10458,Fikayo Tomori,DEF,Chelsea,Premier League,0,0,0,14,180,0.0,0.0,33,14200000
104614,Dion Lopy,MID,Stade de Reims,Ligue 1,0,0,2,48,150,0.09,0.0,24,16800000
10462,Lucas Evangelista Santana de Oliveira,MID,Udinese,Serie A,0,0,0,0,360,0.0,0.0,19,12000000
104656,Moïse Orell Dion Sahi,MID,Strasbourg,Ligue 1,0,0,0,0,90,0.0,0.0,34,11400000
10475,Mahdi Camara,DEF,Saint-Étienne,Ligue 1,0,0,2,61,175,0.11,0.0,27,10200000
10476,Timothée Kolodziejczak,DEF,Saint-Étienne,Ligue 1,0,0,9,1328,3465,1.15,0.0,37,5200000
10479,Matz Sels,GK,Strasbourg,Ligue 1,0,0,0,26,90,0.0,0.0,31,4500000
10480,Anthony Caci,MID,Strasbourg,Ligue 1,1,0,1,4,90,0.19,0.0,34,23800000
10481,Aurélien Djani Tchouaméni,MID,AS Monaco,Ligue 1,0,0,4,74,90,0.14,0.0,27,22900000
10483,Ørjan Håskjold Nyland,GK,Ingolstadt,Bundesliga,0,0,0,80,180,0.0,0.0,33,4400000
10484,Callum Connolly,MID,Everton,Premier League,0,0,0,13,270,0.0,0.0,31,22500000
10496,Brandon Barker,MID,Manchester City,Premier League,0,0,0,0,180,0.0,0.0,27,34000000
10499,Ivo Daniel Ferreira Mendonca Pinto,DEF,Norwich City,Premier League,0,0,0,486,1260,0.0,0.0,35,10500000
10503,Billy Jones,DEF,Sunderland,Premier League,1,0,13,815,3044,1.82,0.0,30,16700000
10530,Jules Olivier Ntcham,MID,Genoa,Serie A,0,0,23,535,3207,0.91,0.0,27,24200000
105323,Francisco Javier Alvarez Rodríguez,MID,Real Valladolid,La Liga,0,0,0,0,90,0.0,0.0,19,18000000
105324,Mohamed Aiman Moukhliss Agmir,MID,Real Valladolid,La Liga,0,0,0,0,90,0.0,0.0,24,27000000
10546,Marcus Browne,MID,West Ham United,Premier League,0,0,0,0,90,0.0,0.0,35,17400000
105762,José Antonio Miranda Boacho,MID,Getafe,La Liga,0,0,1,3,90,0.07,0.0,18,17900000
10582,Leonardo Cesar Jardim,MID,Lille,Ligue 1,0,0,0,0,90,0.0,0.0,31,11700000
105848,Ismaël Gharbi,FWD,Paris Saint-Germain,Ligue 1,0,0,0,4,180,0.0,0.0,36,11400000
10594,Bas Dost,FWD,Wolfsburg,Bundesliga,0,1,0,7,90,0.0,0.0,24,35600000
10605,Rodrigo Andrés Battaglia,MID,Deportivo Alavés,La Liga,0,0,1,57,180,0.06,0.0,19,13600000
10609,Jérémy Mathieu,DEF,Barcelona,La Liga,0,2,7,832,2501,0.53,0.0,31,11600000
